domain,length,entropy,label
olb-z8ylw4gqfvc5qpgsn.biz,21,4.106603137064474,dga
p9gi9twohoce8ko40156yct8y.io,25,4.053660689688186,dga
defaviv.com,7,2.521640636343318,legit
velosusa.site,8,2.75,legit
jjd-m2hr4qsjt7jv8jn9fa6rg1.info,26,4.17699200758583,dga
il1x9bnt7ypfy2iwjlsesaync.io,25,4.133660689688186,dga
tizelupuwi-pude.site,15,3.1898980954642875,legit
xefekafun.net,9,2.725480556997868,legit
posiloqe.top,8,2.75,legit
6nnvkqmqz8l7vie7pdvzaw4pj.org,25,4.053660689688186,dga
mu0y4u1y6lmxce0e.biz,16,3.375,dga
zdh20ijeum-r9lgm2.info,17,3.852168723603281,dga
ybpt8fk9rrdgxc3e.org,16,3.875,dga
jn2eay6rbj1ti88.org,15,3.640223928941852,dga
zasijehuroga.net,12,3.4182958340544896,legit
41ed5optm8-ivw65770d.biz,20,4.021928094887363,dga
riyinolu.org,8,2.75,legit
zw1r9h3d8qttab271b90s.co,21,4.011365041826379,dga
r1xmj8oygk96q38-xnm.io,19,3.9321380397593746,dga
c8gojnu4rokoj.info,13,3.180832987205441,dga
wsew1sxigdoxa24kgxz2otytax.net,26,3.854285871987246,dga
kixifos.io,7,2.5216406363433186,legit
tr0znexdcnm7j315bzk5c.top,21,4.011365041826379,dga
hobuso.org,6,2.2516291673878226,legit
jt41nvfv2fcqjtis84p0.com,20,3.821928094887362,dga
fewele-ni.info,9,2.6416041678685933,legit
qujodaqam-da.org,12,2.8553885422075336,legit
0kzhe36e07w7cwbvbflunba.top,23,3.969001629875993,dga
fuvozulasuy.co,11,3.0271691184406184,legit
3h7xnff7g6ylre4e.org,16,3.625,dga
betemukoj.co,9,2.94770277922009,legit
zinodiyeriki.net,12,2.9182958340544896,legit
s9q5yh7dqb9cx55.co,15,3.323231428797621,dga
mlmzafu-sew4xddh7j8bk3.info,22,4.277613436819115,dga
0kmshcerhqthoz4xnr0rt3w.info,23,3.936180434129755,dga
badiyimovani.co,12,3.0220552088742,legit
luvelugaril.info,11,2.8453509366224368,legit
g9hxvefqojfwj33m.top,16,3.625,dga
ikulir568pun-jp2on77.org,20,3.821928094887362,dga
1esc5veoe11utqfemxh4v1.top,22,3.641249800455478,dga
xivit.info,5,1.9219280948873623,legit
gxeyqj8i1hv26.io,13,3.7004397181410926,dga
uxyn2hbxpcgdcu.io,14,3.378783493486176,dga
tovugakagad-fa.org,14,3.09306920777189,legit
2knsmtlyttjx0cmp61ofra4.org,23,4.229871195093383,dga
rowatewisiva.io,12,3.084962500721156,legit
55drzxt834q2kiz-p3cefl.io,22,4.186704345910024,dga
petepodavasu.org,12,3.0849625007211556,legit
rayiyu.com,6,2.2516291673878226,legit
zavexos.ai,7,2.807354922057604,legit
p3fwwsol2qsfcehj8ijul.net,21,3.916126946588284,dga
zitaxaqogute.top,12,3.2516291673878226,legit
pehohe.com,6,1.9182958340544893,legit
grgnokkq7yzd5brztviwm.co,21,4.011365041826379,dga
snpq8in23y4qfle3fkb4hk4ota.org,26,4.132944044980959,dga
pcs6sf30eniqk6aj9qkxaxx.net,23,3.882045108136862,dga
mb58a8lhcpnvi6a0w5h8-fwem97.net,27,4.208410187268526,dga
jenohemiy.ai,9,2.94770277922009,legit
m99wy-pqfbin3wskcz.biz,18,3.94770277922009,dga
d7nzzuo1bx2b59y.info,15,3.640223928941852,dga
lofucem.ai,7,2.807354922057604,legit
tudumava.io,8,2.5,legit
kojigimukunu.biz,12,2.8553885422075336,legit
9wqcmdoaflrh8dqgi.top,17,3.852168723603281,dga
catocoq.top,7,2.2359263506290326,legit
soxifayeg.co,9,3.169925001442312,legit
nihub.co,5,2.321928094887362,legit
monofomiq.ai,9,2.4193819456463714,legit
uzjhh81or6fcyjcfubuik0.ai,22,3.8796640049025943,dga
sd3a7za7nf3n6sfvzhjnbecg.info,24,3.8868421881310113,dga
jopiyuy.top,7,2.521640636343318,legit
mbmij00whc2hmmygm2m-hzc2n.ai,25,3.483074189428569,dga
nufecukekir.site,11,2.9139770731827523,legit
tp3n4omhfvtq.site,12,3.4182958340544896,dga
syvxz83o4ql3.co,12,3.4182958340544896,dga
kdlzh96za1pnx6clhl1t3vncfl.ai,26,3.9312089489103235,dga
aydd50mlhryq1x3i50vf9e.co,22,4.095795255000933,dga
qusecelot.co,9,2.94770277922009,legit
dopibeja.site,8,3.0,legit
yuqup-hari.site,10,3.121928094887362,legit
bf41gpeb-bdxf8hy3j2d.info,20,3.8841837197791893,dga
64l1w15jb0zjklrvg1pii0p6e.org,25,3.973660689688186,dga
dizoqiqihoc.biz,11,2.6635327548042547,legit
ziquzavo.info,8,2.75,legit
6ddpoa-v6n0b5.org,13,3.3927474104487847,dga
xonidisofe-mo.site,13,3.180832987205441,legit
mezoqe.org,6,2.2516291673878226,legit
rvxpxwkss0328ut19tpxznvn.site,24,3.970175521464345,dga
rukilukikoj.co,11,2.663532754804255,legit
sidaxa.net,6,2.2516291673878226,legit
dobuzuqet.co,9,2.94770277922009,legit
mj00n9ier2p88wr6xegpei59.net,24,3.8868421881310113,dga
wikotaj.site,7,2.807354922057604,legit
yiqequzu-nin.com,12,2.918295834054489,legit
kxux-icladvrv.ai,13,3.392747410448785,dga
cakaxo.org,6,2.2516291673878226,legit
katelajogefo.site,12,3.0849625007211556,legit
fuxahute-koqu.site,13,3.334679141051595,legit
saveyag.top,7,2.5216406363433186,legit
ronedimoqaxe.biz,12,3.2516291673878226,legit
galonoqi.com,8,2.75,legit
roqefekehib.com,11,3.0271691184406184,legit
f16fy3v5bh4axo91pok8-g2mkaj.org,27,4.384517131793099,dga
1tmt6ew-1qrdx0dfzr.co,18,3.7254805569978675,dga
ss3-0ux0n80rc4a0zox.co,19,3.6163485660751635,dga
yyrisp5g708y930bf8sf0fd1cb.ai,26,3.921029621737615,dga
linewah.top,7,2.807354922057604,legit
jusar.net,5,2.321928094887362,legit
4v3hke908ornqsv2.top,16,3.875,dga
cfuh9v0rrxrf.info,12,3.0220552088742,dga
habinu.com,6,2.584962500721156,legit
biceg.site,5,2.321928094887362,legit
tgnt63nkeqowi-mh4u844.site,21,3.975418017913833,dga
mikexan.site,7,2.807354922057604,legit
y6zmp51kb67vx6h24wvx08zqx.site,25,4.103465189601647,dga
lijocorufuta.site,12,3.251629167387823,legit
0h7r7neovz20vbsr6.io,17,3.6168746059562222,dga
faworu.org,6,2.584962500721156,legit
qenebugituda.info,12,3.251629167387823,legit
huboje.top,6,2.584962500721156,legit
cufifuraso.com,10,2.9219280948873623,legit
nareweqicu.biz,10,3.121928094887362,legit
vocanixaluse.com,12,3.4182958340544896,legit
endwjpltwjj0tv5nx1js-m9i.site,24,4.001629167387823,dga
1mxkpyuf50to6-e3hd.co,18,4.169925001442312,dga
fvwes6qdrbmmfs.info,14,3.378783493486176,dga
u3lqh60vjx-mal.info,14,3.6644977792004623,dga
vrzha-j761o8mvedyz4nirc.com,23,4.262692390839622,dga
hinixe.top,6,2.2516291673878226,legit
lowojoha.com,8,2.4056390622295662,legit
8177-tfadmq0s29tfog2158.net,23,4.001822825622231,dga
iarieky7sju0m.ai,13,3.5465935642949384,dga
tok0q1zauu99te5q9pgie42.net,23,3.9690016298759927,dga
jemeyobo-sef.co,12,3.0220552088742,legit
zpv33dtdrr93d9.com,14,2.8423709931771084,dga
busotemit.biz,9,2.94770277922009,legit
hoxiqex.net,7,2.521640636343318,legit
rikuhe.ai,6,2.584962500721156,legit
xkynl4aum40dj7gfmz34nps8.org,24,4.220175521464345,dga
wifagagi.biz,8,2.25,legit
4bia5k4tsqn3uci26.site,17,3.852168723603281,dga
pevolod.io,7,2.521640636343318,legit
sbyrqlgp1wczj48qr-0cu39.org,23,4.2626923908396215,dga
yupisupenefa.org,12,3.0849625007211556,legit
snahpk6mgar8ler.info,15,3.640223928941852,dga
zunadeko.org,8,3.0,legit
y20m9op04gyrh4yepxnelxu.site,23,3.8820451081368623,dga
cifuvuxe.io,8,2.75,legit
cukorav.site,7,2.807354922057604,legit
jasoqayehi.top,10,3.121928094887362,legit
lxo2z9izhb0no2-mxwh01.com,21,3.8208888513501886,dga
qejag.net,5,2.321928094887362,legit
mizevequre.site,10,2.8464393446710154,legit
soyivimekaci.top,12,3.188721875540867,legit
bunoxir.ai,7,2.807354922057604,legit
keweco.io,6,2.2516291673878226,legit
tiwev.com,5,2.321928094887362,legit
ej9l0krgbegsz5soaql2.net,20,3.9219280948873623,dga
larabup.org,7,2.5216406363433186,legit
quonqdg-qvlrrafxcy67oh0e79.org,26,4.286790198827113,dga
hi2gbm1o04tgi.org,13,3.3927474104487847,dga
b9ppuv7qqclsfqul.net,16,3.327819531114783,dga
duger.info,5,2.321928094887362,legit
mahacu-qeme.biz,11,2.9139770731827523,legit
8mggnjzmiz7y28k2m8-gwzosgx.org,26,3.7671834678914617,dga
pjjt-hi9b9grhrkz.io,16,3.5,dga
jvy-zgkk2pxnh.com,13,3.5465935642949384,dga
valedikecu.biz,10,3.121928094887362,legit
v8pktprubu24c.biz,13,3.3927474104487847,dga
8vsdylt5-e1laei2j00r.com,20,4.021928094887363,dga
czmy2v7r1qev3z.biz,14,3.521640636343319,dga
nagik.org,5,2.321928094887362,legit
jixujod.biz,7,2.5216406363433186,legit
tepebidotip.org,11,2.73215889136457,legit
bnopbn-yk4cbn.io,13,2.9689185639620974,dga
596idp9zzwrbjpscixf5q.co,21,3.916126946588284,dga
qibexi-jah.io,10,3.121928094887362,legit
foziyuhaja.top,10,3.121928094887362,legit
qebibojapir.top,11,3.095795255000934,legit
kuduviguhiq.io,11,2.8453509366224363,legit
5x2-z9q0p8y7flrc7pfj.ai,20,4.021928094887363,dga
jozokotilufo.org,12,2.9182958340544896,legit
fowonacitik.co,11,3.095795255000934,legit
f4mu5z-sel8gem9z20w3imbem.org,25,4.0536606896881855,dga
zuxegoninap.biz,11,3.2776134368191157,legit
guhaquj.org,7,2.521640636343318,legit
bmyjr-80wkdkx5gto.net,17,3.9698157824268097,dga
gevuleludubu.io,12,2.584962500721156,legit
fmkthpbpt24q-tmzqus6.info,20,3.7841837197791888,dga
otvom-syrd6l7.top,13,3.5465935642949384,dga
so9rj0aldzc9.co,12,3.4182958340544896,dga
wm64xu2pek626.co,13,3.180832987205441,dga
2l7qin1wmr3pax.co,14,3.8073549220576055,dga
ib0kmo56yp6o9rqi0dy.site,19,3.7216117239699003,dga
nujekuwuci.net,10,2.8464393446710154,legit
y5fr-ccetns8ksmxpnap1fdgric.org,27,4.208410187268526,dga
bukipi.info,6,2.2516291673878226,legit
xetor.site,5,2.321928094887362,legit
jusayoqonedo.top,12,3.188721875540867,legit
rowaheveko.ai,10,2.9219280948873623,legit
cajudil-le.co,10,3.121928094887362,legit
4xxgzry815l66o2fza4bctza.biz,24,4.053508854797679,dga
gdvojhwyqntku9567u5fh.biz,21,4.106603137064474,dga
hitojunu.site,8,2.75,legit
gn0q1-jar8j127.ai,14,3.521640636343319,dga
jamahero-moqi.co,13,3.238901256602631,legit
zedaqab-yamo.info,12,3.188721875540867,legit
z5ohivtyk3zea.org,13,3.546593564294939,dga
bvsjo38u3fxctlhcl1cpwzcfp5.io,26,4.085055102756477,dga
yiyifezobiw.net,11,2.8453509366224363,legit
pkekxkly-n7ulf0401jlu.site,21,3.7489948035250964,dga
aukjdrxshwo60sklcoga7.biz,21,4.011365041826379,dga
nojarufec.site,9,3.169925001442312,legit
xuyeto.site,6,2.584962500721156,legit
dby2oic-j8jg4z4y7w12uddf20o.top,27,4.106377316818027,dga
rpsor05utgee07.net,14,3.378783493486176,dga
6r47aev01r2j97ql3g9.org,19,3.9321380397593746,dga
kinaf.top,5,2.321928094887362,legit
ee1ydz906h-4amzzelu7q.org,21,3.9394709940012875,dga
48lzfai3mjmwtyohs5i8q5qa.net,24,4.084962500721156,dga
riruyujow.net,9,2.725480556997868,legit
az1am9bx3l52-47zk.org,17,3.852168723603281,dga
8l86zst4qztyghuhe.org,17,3.6168746059562222,dga
fibigurami.info,10,2.8464393446710154,legit
jbdzo4n9zgeksjg.co,15,3.506890595608519,dga
thiuv8t6gj8lxf-3w9.org,18,3.94770277922009,dga
xlv32tfux29nkrpc-h6xlz.top,22,4.061482186720776,dga
tuhiluxu.site,8,2.4056390622295662,legit
51lf1at0v9mm2p940hpus0.net,22,3.8796640049025943,dga
dogahu.site,6,2.584962500721156,legit
a94ewx3pk0qu48hc.site,16,3.875,dga
vazotakoluji.com,12,3.2516291673878226,legit
0id4abffjs6jvnot-iryn.ai,21,4.011365041826379,dga
pukirenitu.info,10,2.9219280948873623,legit
ykxl8emd3uxcn6oznkrp8gjhj1.top,26,4.315824333525708,dga
7x3g61qv11rzzv6.info,15,3.189898095464288,dga
8sh0yb25fdr1qlt.top,15,3.906890595608518,dga
zetibavuqedi.site,12,3.2516291673878226,legit
8by799grn7rydve7ld9l1m8s.site,24,3.772055208874201,dga
nowihofifo-cigu.biz,15,3.139572261986723,legit
yizexa.io,6,2.584962500721156,legit
koxutiliko.co,10,2.721928094887362,legit
0bt15t5wjulrlxfi.top,16,3.625,dga
cuboqe.biz,6,2.584962500721156,legit
3uuld05q5rmd9r2uvpexzu.io,22,3.823067982273661,dga
fimovovuz.com,9,2.725480556997868,legit
57cezmsmnz0rcavlr28.net,19,3.8268748818646374,dga
saxezege.io,8,2.4056390622295662,legit
6mx7ai07idkuhjo9xf86eg.net,22,4.095795255000933,dga
81ym9ux-508b24.site,14,3.6644977792004623,dga
wuwinidaraj.site,11,2.9139770731827523,legit
siyezobol.biz,9,2.94770277922009,legit
yoyeyiliz.co,9,2.4193819456463714,legit
htathpgms7o-wb6aq.biz,17,3.7345216647797517,dga
uqeo2cofa2i1u0a-1v3.com,19,3.7216117239699003,dga
ebo4vu2k91wskjna2.com,17,3.852168723603281,dga
owybhvysmrk6g.site,13,3.546593564294939,dga
05dat64dm96r1jd2c0.info,18,3.6835423624332306,dga
rozarajev.site,9,2.725480556997868,legit
pesayukosici.biz,12,3.2516291673878226,legit
tefiha.top,6,2.584962500721156,legit
6h2sk78r16fhus38s3cosy6tj.info,25,3.8936606896881862,dga
vitedojav.biz,9,2.94770277922009,legit
poyenoc-joc.net,11,2.8453509366224363,legit
gfthag2o942wob48tvuu.biz,20,3.721928094887362,dga
zk1usd1lk8vt78v.info,15,3.3735572622751855,dga
cogexaw.info,7,2.807354922057604,legit
lebumaq-tovu.com,12,3.4182958340544896,legit
08setlfczvi192it.info,16,3.75,dga
gomeb.top,5,2.321928094887362,legit
qezoga-tir.org,10,3.321928094887362,legit
w7x-axzlbprqheo0k39r6m4kwsi.co,27,4.458591205867173,dga
cerecorehugo.ai,12,2.688721875540867,legit
x2nacpla3hj8gles9l1hw3f9c.org,25,4.0536606896881855,dga
vuvetamobed.org,11,3.0957952550009336,legit
0980xlmhes54e4fz.biz,16,3.625,dga
vucikagiwib-pum.com,15,3.4565647621309536,legit
vohalefuwaco.org,12,3.2516291673878226,legit
wiloxut.biz,7,2.807354922057604,legit
tjtsbyn52vjzaz.biz,14,3.378783493486176,dga
ivfnsfq9frprtnca3l1tp3l.net,23,3.795088586397733,dga
yznavo6kf9ibqmk1nix.info,19,3.9321380397593746,dga
ruhezamefiso.ai,12,3.4182958340544896,legit
hivuguqudiw.net,11,2.8453509366224363,legit
wdv6hy0urde38emofx8p9wvz6.net,25,4.163856189774725,dga
fupubix.org,7,2.521640636343318,legit
rwd6fdw8k-b9klblzw81ic2n2z.site,26,3.9790978911348054,dga
y38rc6z3p8dfq5ov.biz,16,3.75,dga
bitutinoz-po.site,12,3.0849625007211556,legit
9mj3rrga7611.info,12,3.251629167387823,dga
xogipusi.biz,8,2.75,legit
iiudr3pm1j1awnd.com,15,3.5068905956085183,dga
wevajar.io,7,2.5216406363433186,legit
8bxc4efz02v77aeiyql6nj.site,22,4.277613436819115,dga
hujeyew.top,7,2.5216406363433186,legit
pirijex.info,7,2.5216406363433186,legit
kugil.top,5,2.321928094887362,legit
nazumo.net,6,2.584962500721156,legit
ysk7k0ymnsvpmkxbiqje.com,20,3.7841837197791888,dga
nucicowifu.co,10,2.7219280948873625,legit
n2c8f7ox04-na0dkp.io,17,3.852168723603281,dga
tf2ggumh0sy-g5lr.ai,16,3.702819531114783,dga
mavadamupexu-ruy.ai,16,3.2806390622295662,legit
cemucudikec.ai,11,2.663532754804255,legit
najatogulora-kid.co,16,3.577819531114783,legit
nilolabocuhu.co,12,3.084962500721156,legit
x9tqqc7v3-2c6.io,13,3.3927474104487847,dga
uqri9nmpojkwnsn-v0lnlg21r8.org,26,4.23890125660263,dga
5n6pi01pz2gfyc68xg.site,18,3.8365916681089787,dga
nimuyazugeyu.info,12,3.0220552088742,legit
mucegigewiqo.com,12,3.084962500721156,legit
5dmidrzchy0x3v2462ttn7.org,22,4.186704345910024,dga
gt9lnpr9fymj523j8zgnydb.info,23,4.088779347361361,dga
8gcrhzcsgyq9oqhtc4.co,18,3.5724312513221195,dga
gotazafad-vod.ai,13,3.0269868333592873,legit
javuseviq.io,9,2.94770277922009,legit
rozaz.site,5,1.9219280948873623,legit
anh0juprb-i3yurvdmx5iiudzf.com,26,4.180832987205441,dga
f7ohfnmarmzqn82te8s.top,19,3.8268748818646365,dga
n5xo4yypnqpyknku2o.co,18,3.3082708345352603,dga
plc7ixo202alkw87.top,16,3.625,dga
uvbpeph8qwxclxr7w5pztgc3x9.info,26,4.180832987205441,dga
doxav-wav.ai,9,2.725480556997868,legit
pocimohexi.co,10,2.9219280948873623,legit
farohamoqop.co,11,2.8453509366224363,legit
qunowuris.biz,9,2.94770277922009,legit
un4zcud9o2rll8e1.net,16,3.75,dga
qututofuy.co,9,2.4193819456463714,legit
pdqr2jifvh01lz5yedkshzpaue.net,26,4.315824333525708,dga
yezobosidit.top,11,3.095795255000934,legit
cuqepawame.com,10,2.9219280948873623,legit
hufuviqidu.biz,10,2.6464393446710153,legit
ojk1g6cyzu6jacqrta.com,18,3.7254805569978675,dga
rupevijibiji-wonu.site,17,3.3815804883091634,legit
yewame.top,6,2.2516291673878226,legit
kunuqa.top,6,2.2516291673878226,legit
dacaqonopop.info,11,2.663532754804255,legit
g0la5o1pdympldet.biz,16,3.625,dga
iccuh4zv8qh-71s.biz,15,3.6402239289418516,dga
ypk955dw443ao90-4fkr7nr.net,23,3.9690016298759927,dga
d5hoos63ggdrxzoo7bqn.co,20,3.7219280948873625,dga
qumaj-pix.site,9,3.169925001442312,legit
kewijoneqewa.io,12,3.0220552088742005,legit
lutuxicaja.co,10,2.9219280948873623,legit
xehenajo.site,8,2.75,legit
wenesupat.io,9,2.94770277922009,legit
1mlufubo68pgxc29sp.org,18,3.94770277922009,dga
sahosece.site,8,2.5,legit
590bmdrkf-8f1b8qpnjm3.co,21,4.011365041826379,dga
3h4iegdu-ilj25rc.co,16,3.875,dga
5x00nx4geqyt-4i33.co,17,3.6168746059562222,dga
hboh2nveq0f2w6iqyi49ljxx9k.co,26,4.23890125660263,dga
kwv1fuf1et2y7h51mb7hl1mjo2.net,26,4.0081320258334,dga
